Mods count: 132
 
jar name                                                                     | mod id (isMCreator)                                      | mixin configs
    /META-INF/jars/sgui-1.11.0+1.21.9.jar                                    | sgui                                                     | sgui.mixins.json
HangGlider-v21.10.0+mc1.21.10-Fabric.jar                                     | hangglider                                               | hangglider.common.mixins.json, hangglider.fabric.mixins.json
IMBlocker-6.0.1-fabric-1.21.9+.jar                                           | imblocker                                                | imblocker.mixins.json
ImmediatelyFast-Fabric-1.13.2+1.21.10.jar                                    | immediatelyfast                                          | immediatelyfast-common.mixins.json, immediatelyfast-fabric.mixins.json
    /META-INF/jars/Reflect-1.3.4.jar                                         | net_lenni0451_reflect                                    | 
InventoryProfilesNext-fabric-1.21.10-2.2.1.jar                               | inventoryprofilesnext                                    | mixins.ipnext.json
iris-fabric-1.9.6+mc1.21.9.jar                                               | iris                                                     | mixins.iris.compat.sodium.json, mixins.iris.devenvironment.json, mixins.iris.fixes.maxfpscrash.json, mixins.iris.json, mixins.iris.fantastic.json, mixins.iris.integrationtest.json, mixins.iris.vertexformat.json, mixins.iris.bettermipmaps.json, mixins.iris.compat.dh.json, mixins.iris.fabric.json
    /META-INF/jars/antlr4-runtime-4.13.1.jar                                 | org_antlr_antlr4-runtime                                 | 
    /META-INF/jars/fabric-api-base-1.0.0+14b92d8987.jar                      | fabric-api-base                                          | 
    /META-INF/jars/fabric-key-binding-api-v1-1.1.1+b3ba9c4887.jar            | fabric-key-binding-api-v1                                | fabric-key-binding-api-v1.mixins.json
    /META-INF/jars/glsl-transformer-3.0.0-pre3.jar                           | io_github_douira_glsl-transformer                        | 
    /META-INF/jars/jcpp-1.4.14.jar                                           | org_anarres_jcpp                                         | 
Jade-1.21.9-Fabric-20.0.5.jar                                                | jade                                                     | jade.mixins.json
jagmkiwis-fabric-1.21.10-1.2.3.jar                                           | jagmkiwis                                                | jagmkiwis.fabric.mixins.json, jagmkiwis.mixins.json
jamlib-fabric-1.3.5+1.21.10.jar                                              | jamlib                                                   | jamlib.client.mixins.json, jamlib.mixins.json
    /META-INF/jars/jankson-1.2.3.jar                                         | blue_endless_jankson                                     | 
jei-1.21.10-fabric-26.1.1.24.jar                                             | jei                                                      | jei.mixins.json
libIPN-fabric-1.21.10-6.6.1.jar                                              | libipn                                                   | mixins.libIPN-common.json
lios_overhauled_villages-1.18.2-1.21.6-v0.0.9.jar                            | lios_overhauled_villages                                 | 
lootr-fabric-1.21.10-1.18.31.98.jar                                          | lootr                                                    | lootr-fabric.mixins.json, lootr-common.mixins.json
mangrove-root-mansion-4.12.jar                                               | mr_mangrove_rootmansion                                  | 
mcw-bridges-3.1.0-mc1.21.10fabric.jar                                        | mcwbridges                                               | 
mcw-doors-1.1.2-mc1.21.10fabric.jar                                          | mcwdoors                                                 | 
mcw-fences-1.2.0-mc1.21.10fabric.jar                                         | mcwfences                                                | 
mcw-furniture-3.4.1-mc1.21.10fabric.jar                                      | mcwfurnitures                                            | 
mcw-lights-1.1.4-mc1.21.10fabric.jar                                         | mcwlights                                                | 
mcw-trapdoors-1.1.5-mc1.21.10fabric.jar                                      | mcwtrpdoors                                              | 
mcw-windows-2.4.1-mc1.21.10fabric.jar                                        | mcwwindows                                               | 
